Date,Type,Press Conference,Scheduled FOMC,Unscheduled FOMC,SEP,Dotplot,Monetary Policy Report,Minutes Released
2/8/1990,Open Market Operation,0,0,0,0,0,0,0
3/28/1990,Open Market Operation,0,0,0,0,0,0,0
5/16/1990,Open Market Operation,0,0,0,0,0,0,0
7/5/1990,Open Market Operation,0,0,0,0,0,0,0
7/13/1990,Open Market Operation,0,0,0,0,0,0,0
8/22/1990,Open Market Operation,0,0,0,0,0,0,0
10/3/1990,Open Market Operation,0,0,0,0,0,0,0
10/29/1990,Open Market Operation,0,0,0,0,0,0,0
11/14/1990,Open Market Operation,0,0,0,0,0,0,0
12/7/1990,Open Market Operation,0,0,1,0,0,0,0
12/18/1990,Discount Rate Change Press Release,0,1,0,0,0,0,0
1/8/1991,Open Market Operation,0,0,1,0,0,0,0
2/1/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
2/7/1991,Open Market Operation,0,0,0,0,0,0,0
3/8/1991,Open Market Operation,0,0,0,0,0,0,0
3/27/1991,Open Market Operation,0,0,0,0,0,0,0
4/30/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
5/15/1991,Open Market Operation,0,1,0,0,0,0,0
7/5/1991,Open Market Operation,0,1,0,0,0,0,0
8/6/1991,Open Market Operation,0,0,1,0,0,0,0
8/21/1991,Open Market Operation,0,1,0,0,0,0,0
9/13/1991,Discount Rate Change Press Release,0,0,1,0,0,0,0
10/2/1991,Open Market Operation,0,1,0,0,0,0,0
10/30/1991,Open Market Operation,0,0,1,0,0,0,0
11/6/1991,Discount Rate Change Press Release,0,1,0,0,0,0,0
12/6/1991,Open Market Operation,0,0,0,0,0,0,0
12/18/1991,Open Market Operation,0,1,0,0,0,0,0
12/20/1991,Discount Rate Change Press Release,0,0,0,0,0,0,0
2/6/1992,Open Market Operation,0,1,0,0,0,0,0
4/1/1992,Open Market Operation,0,1,0,0,0,0,0
4/9/1992,Open Market Operation,0,0,0,0,0,0,0
5/20/1992,Open Market Operation,0,1,0,0,0,0,0
7/2/1992,Discount Rate Change Press Release,0,0,1,0,0,0,0
8/19/1992,Open Market Operation,0,1,0,0,0,0,0
9/4/1992,Open Market Operation,0,0,0,0,0,0,0
10/7/1992,Open Market Operation,0,1,0,0,0,0,0
11/18/1992,Open Market Operation,0,1,0,0,0,0,0
12/23/1992,Open Market Operation,0,1,0,0,0,0,0
2/4/1993,Open Market Operation,0,1,0,0,0,0,0
3/24/1993,Open Market Operation,0,1,0,0,0,0,0
3/26/1993,Minutes,0,0,0,0,0,0,1
5/19/1993,Open Market Operation,0,1,0,0,0,0,0
5/21/1993,Minutes,0,0,0,0,0,0,1
7/8/1993,Open Market Operation,0,1,0,0,0,0,0
7/9/1993,Minutes,0,0,0,0,0,0,1
8/18/1993,Open Market Operation,0,1,0,0,0,0,0
8/20/1993,Minutes,0,0,0,0,0,0,1
9/22/1993,Open Market Operation,0,1,0,0,0,0,0
9/24/1993,Minutes,0,0,0,0,0,0,1
11/17/1993,Open Market Operation,0,1,0,0,0,0,0
11/19/1993,Minutes,0,0,0,0,0,0,1
12/22/1993,Open Market Operation,0,1,0,0,0,0,0
12/23/1993,Minutes,0,0,0,0,0,0,1
2/4/1994,FOMC Statement,0,1,0,0,0,0,0
2/4/1994,Minutes,0,0,0,0,0,0,1
2/28/1994,FOMC Statement,0,0,1,0,0,0,0
3/22/1994,FOMC Statement,0,1,0,0,0,0,0
3/24/1994,FOMC Statement,0,0,1,0,0,0,0
3/25/1994,Minutes,0,0,0,0,0,0,1
4/18/1994,FOMC Statement,0,0,1,0,0,0,0
